year,A_growth_projection,A_low,A_high,B_arima_step,B_95ci_lo,B_95ci_hi,C_poly2_full,D_loglinear_full,E_poly2_excl_2024
2025,93342.22230593533,93285.39653561013,93559.1110641613,93191.28036259321,93093.29302694318,93289.26769824325,88083.18901103735,84890.92211462859,80502.37032967433
2026,95071.09173944744,94897.4568754934,95571.59989863489,94793.56085961878,94574.45486258947,95012.6668566481,91520.36703300476,87244.47990387926,82044.34368132055
2027,96772.99680053248,96419.61819100493,97627.37806391565,96395.84135664436,96093.8264069598,96697.85630632893,95137.25465422869,89663.2888899524,83580.2222527489
2028,98445.32618870458,97846.54928311291,99727.37672847993,97998.12185366995,97625.0021762082,98371.24153113169,98933.85187464952,92149.1581292078,85110.00604395755
2029,100085.47528746925,99173.18133425298,101872.5470905601,99600.40235069553,99162.19779842817,100038.60690296289,102910.15869426727,94703.9468331759,86633.69505494647
2030,101690.85275218944,100394.737601836,104063.8608089914,101202.68284772111,100703.05514867502,101702.3105467672,107066.17511314154,97329.56575908452,88151.28928571567
