test_year,n_train,actual,pred_drift,pred_loglinear,pred_poly2,pred_arima,arima_order,pred_mlp_small,pred_mlp_large,err_drift,err_loglinear,err_poly2,err_arima,err_mlp_small,err_mlp_large
2018,8,69631.0,69604.42857142857,69845.02044594497,69713.30357143283,77559.85041439523,"(2, 2, 1)",66272.07163698887,69324.16600736625,26.571428571434808,-214.0204459449742,-82.3035714328289,-7928.8504143952305,3358.9283630111313,306.8339926337503
2019,9,71233.0,71239.75,71573.26417453801,71364.59523809701,71248.83906460946,"(2, 2, 2)",67642.13661861492,71042.44342373889,-6.75,-340.2641745380097,-131.59523809701204,-15.839064609463094,3590.8633813850756,190.5565762611077
2020,10,72800.0,72841.0,73289.51915033399,72972.41666666791,72818.03084515227,"(2, 2, 2)",69014.16202817988,72754.55610272121,-41.0,-489.51915033398836,-172.41666666790843,-18.030845152272377,3785.8379718201177,45.443897278790246
2021,11,74278.0,74403.9,74987.60936167401,74535.13333333284,77278.62202438251,"(1, 2, 2)",70345.93316716584,74404.02777578417,-125.89999999999418,-709.6093616740109,-257.1333333328366,-3000.6220243825082,3932.0668328341562,-126.02777578416863
2022,12,75731.0,75870.45454545454,76645.51993578301,76013.65909090903,75645.67316462898,"(1, 2, 2)",71657.70479355693,75895.63277239387,-139.45454545454413,-914.5199357830134,-282.65909090903006,85.32683537101548,4073.295206443072,-164.6327723938739
2023,13,77360.0,77311.83333333333,78270.41410743627,77438.59440559708,77183.82611881144,"(0, 2, 2)",72936.41132463116,77445.31361055575,48.16666666667152,-910.4141074362706,-78.59440559707582,176.17388118855888,4423.588675368839,-85.31361055574962
2024,14,91589.0,78944.53846153847,79926.1495229596,78954.30219780654,79213.7700520156,"(2, 2, 2)",74165.166297329,78980.02253041338,12644.461538461532,11662.850477040396,12634.697802193463,12375.229947984393,17423.833702671007,12608.977469586622
