model,2018,2019,2020,2021,2022,2023,2024
Naive (last observation),1632.0,1602.0,1567.0,1478.0,1453.0,1629.0,14229.0
Linear trend (OLS on year),109.57142857136205,57.194444444496185,11.666666666977108,145.5272727268748,259.5909090908244,160.69230769202113,12512.802197802346
Random walk + drift,26.571428571434808,6.75,41.0,125.89999999999418,139.45454545454413,48.16666666667152,12644.461538461532
Log-linear trend,214.0204459449742,340.2641745380097,489.51915033398836,709.6093616740109,914.5199357830134,910.4141074362706,11662.850477040396
Polynomial (deg 2),82.3035714328289,131.59523809701204,172.41666666790843,257.1333333328366,282.65909090903006,78.59440559707582,12634.697802193463
ARIMA (AIC grid),7928.8504143952305,15.839064609463094,18.030845152272377,3000.6220243825082,85.32683537101548,176.17388118855888,12375.229947984393
"MLP (8,8)",3358.9283630111313,3590.8633813850756,3785.8379718201177,3932.0668328341562,4073.295206443072,4423.588675368839,17423.833702671007
"MLP (128,128,128)",306.8339926337503,190.5565762611077,45.443897278790246,126.02777578416863,164.6327723938739,85.31361055574962,12608.977469586622
