test_year,n_train,actual,pred_polynomial,pred_mlp,pred_arimax,arimax_order
2020,5,127667.0,127673.93996808864,128906.18494115616,127656.69506831813,"(1, 1, 1)"
2021,6,133867.0,131676.25053884787,132824.97317102802,131655.587316208,"(1, 1, 0)"
2022,7,140512.0,136937.1231746343,141127.27598923605,140273.74143889573,"(1, 1, 0)"
2023,8,196375.0,142971.5892698504,145865.92586981403,147405.58348413755,"(1, 1, 0)"
2024,9,201403.0,171279.04027988669,323910.0542533863,196374.9999999999,"(0, 1, 0)"
