year,temp_avg_c,precip_total_mm
2015,18.216666666666665,941.1
2016,18.208333333333332,789.8
2017,18.558333333333334,531.6
2018,19.125,1069.5
2019,18.224999999999998,891.5
2020,18.265833333333333,1117.8620689655172
2021,19.483333333333334,485.29999999999995
2022,18.733333333333334,521.6
2023,20.039166666666667,669.8
2024,20.094166666666666,894.8
