year,population,temp_avg_c,precip_total_mm
2015,107667,18.216666666666665,941.1
2016,111667,18.208333333333332,789.8
2017,115667,18.558333333333334,531.6
2018,119667,19.125,1069.5
2019,123667,18.224999999999998,891.5
2020,127667,18.265833333333333,1117.8620689655172
2021,133867,19.483333333333334,485.29999999999995
2022,140512,18.733333333333334,521.6
2023,196375,20.039166666666667,669.8
2024,201403,20.094166666666666,894.8
