year,polynomial,mlp,arimax,polynomial_95pi_lo,polynomial_95pi_hi,mlp_95pi_lo,mlp_95pi_hi,arimax_95pi_lo,arimax_95pi_hi
2025,191463.92499369197,115344.3352533026,201403.00000000006,191456.98502560332,244867.33572384156,-7162.719000083671,165853.4093834886,201413.30493168192,250372.4165158625
2026,201237.4122431744,115344.3352533026,201403.00000000006,201230.47227508575,254640.822973324,-7162.719000083671,165853.4093834886,201413.30493168192,250372.4165158625
2027,211015.7247144077,115344.3352533026,201403.00000000006,211008.78474631906,264419.1354445573,-7162.719000083671,165853.4093834886,201413.30493168192,250372.4165158625
2028,220798.86240739003,115344.3352533026,201403.00000000006,220791.9224393014,274202.2731375396,-7162.719000083671,165853.4093834886,201413.30493168192,250372.4165158625
2029,230586.82532212138,115344.3352533026,201403.00000000006,230579.88535403274,283990.236052271,-7162.719000083671,165853.4093834886,201413.30493168192,250372.4165158625
2030,240379.6134585999,115344.3352533026,201403.00000000006,240372.67349051125,293783.0241887495,-7162.719000083671,165853.4093834886,201413.30493168192,250372.4165158625
