model,n_forecasts,MAPE_%,RMSE,MAE
polynomial,5,9.267558141846115,27484.382483560727,17859.987340973876
mlp,5,17.74689531378688,59265.74875103556,35182.523228587284
arimax,5,5.852551342586733,22037.38531357845,11291.478538488136
