model_1,model_2,dm_stat,p_value,n_independent_forecasts
polynomial,mlp,-1.1904549114199896,0.299687801233125,5
polynomial,arimax,1.8754280025750976,0.13398742980354061,5
mlp,arimax,1.24017352258364,0.28268925150686597,5
